rank,action_id,action_date,dismiss_reason,dismissal_note,asin,amazon_title,amazon_system,ebay_item_id,ebay_title,ebay_condition,ebay_category,ebay_category_ids,seller_username,detected_ebay_platform,game_name,region_code,format,type,features,release_year,stored_recommendation,current_recommendation,current_hard_blocks,current_warnings,pattern,rule_miss_class,evidence_dependency,opportunity_id,candidate_id,snapshot_id
558,a3302ff0-7dcf-4599-960e-d5e3cf9da07f,2026-07-16T19:45:19.354685+00:00,missing_shrink_wrap,,B0085L2T0A,WWE '13,,v1|356174174782|0,WWE ’13 (PS3 Playstation 3) Complete In Box w Manuals & OG CASE [BRAND NEW],Brand New,Video Games & Consoles; Video Games,139973,valuevaultnet,PS 3,WWE '13,NTSC-U/C (US/Canada),,,Manual Included,2012,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,image_or_operator_visual_review,0b00ffd4-95b4-4327-a220-35e2eb9f5910,2218e59e-7169-4d5d-8855-5b6169f1dbd1,6bd75df6-238b-4f29-b1d3-2b0e616309c6
559,86e7c717-250d-4d24-81c6-f17f78c5d691,2026-07-16T19:45:08.826863+00:00,packaging_damage,,B009E480RS,Dance Central 3 - Xbox 360,,v1|188264197998|0,Dance Central 3 Xbox 360 Game,Brand New,Video Games; Video Games & Consoles,139973; 1249,jimbuccstreasures,Xbox 360,Dance Central 3,NTSC-U/C (US/CA),,,,2012,Probable Match,Probable Match,,,packaging_damage,evidence exists only in images,image_or_operator_visual_review,c9be6c69-87bd-4716-9ce5-d051bedcf935,aad4b186-9154-4b9a-b4fe-08188e352aaf,a494ec4f-92c7-4bfa-ac7d-22dbcd59cfe0
560,6a07f4a5-ff95-46e5-9336-3725efafdd83,2026-07-16T19:44:27.141793+00:00,wrong_product,,B009E480RS,Dance Central 3 - Xbox 360,,v1|277879287771|0,Xbox 360 KINECT Dance Central (2) & NEW unopened Kinect Adventures Lot of 3 ,Brand New,Video Games; Video Games & Consoles,139973; 1249,theallisonboys,Xbox 360,Dance Central Kinect Adventures,NTSC-U/C (US/Canada),,,Kinect Compatible,,Probable Match,Probable Match,,,eBay item-specific Game Name conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,c8e42f2f-7c96-48d5-8a87-9fc709394d0f,c785c42d-8a3c-4e13-aa95-be2419ca84f1,943ab17f-b5a0-48f0-b5b3-16ccbc463ab1
561,8f93d0dc-40e3-4247-8994-84b3b1e7b295,2026-07-16T19:43:18.198514+00:00,packaging_damage,,B009E480RS,Dance Central 3 - Xbox 360,,v1|147345263049|0,Dance Central 3 Xbox 360 Game,Brand New,Video Games; Video Games & Consoles,139973; 1249,jrebel9319,Xbox 360,Dance Central 3,NTSC-U/C (US/CA),,,,2012,Probable Match,Probable Match,,,packaging_damage,evidence exists only in images,image_or_operator_visual_review,531f506f-e696-490f-b0f0-1e498b845494,ef1b28a0-cd2b-405f-969b-ed6cb2d63416,a43ba4cb-989b-4c27-bda2-2ebbf20b55e5
562,ff13c33e-9858-4736-a44a-507cba9310c8,2026-07-16T19:42:55.529331+00:00,wrong_product,,B009E480RS,Dance Central 3 - Xbox 360,,v1|178159317411|0,"Xbox 360 Kinect Game Lot: Kinect Adventures!, Motionsports, Dance Central - 3",Brand New,Video Games; Video Games & Consoles,139973; 1249,texasfoundtreasuresinc,Xbox 360,"Kinect Adventures, Motionsports, Dance Central",NTSC-U/C (US/Canada); Mexico,,,"Motion Sensing, Multiplayer, Kinect Compatible","2010, 2010, 2010",Probable Match,Probable Match,,,eBay item-specific Game Name conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,a70a4eab-05f7-4322-a6a1-29c5114c70c3,50345ade-9c54-46a9-aaa4-f3a70a47bcc8,c8bef46f-87e3-47ac-ba51-64ad54b875de
563,01ae1726-b448-4da0-852c-d2c21532f550,2026-07-16T19:42:20.344449+00:00,packaging_damage,,B009E480RS,Dance Central 3 - Xbox 360,,v1|177427117585|0,Dance Central 3 - Microsoft Xbox 360 - Broken case,Brand New,Video Games; Video Games & Consoles,139973; 1249,timothyz,Xbox 360,Dance Central 3,,,,,,Probable Match,Probable Match,,,packaging_damage,evidence exists only in images,image_or_operator_visual_review,a03c4f51-0a2f-4caf-b714-c77efbae2ec1,808e7f85-279c-4c71-bdf7-7517fae1314e,edc54034-7c2f-4cfa-9790-9a6a186c18c0
564,486dd60a-9789-4190-80a0-f16190f1df9b,2026-07-16T19:39:10.398865+00:00,wrong_edition_version,,B00AXI9WFS,DISNEY INFINITY Starter Pack Xbox 360,,v1|304781084703|0,XBOX 360 DISNEY INFINITY STAR WARS - 1 STARTER PACK - NEW IN BOX 3.0 EDITION,Brand New,Video Games; Video Games & Consoles,139973; 1249,croeb4ubuy,Xbox 360,Disney Infinity,,,,,,Probable Match,Probable Match,,,bundled content difference,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,bc0ecf7a-cb45-4704-83c6-ccd02a9c3bf4,d5088442-f4a5-4221-8c3a-d778639521a4,9fe4c4c8-5a59-438f-a687-5b254054cdf2
565,59d33b98-8523-4ea0-93a3-e25d24385223,2026-07-16T19:39:10.064547+00:00,wrong_edition_version,,B00AXI9WFS,DISNEY INFINITY Starter Pack Xbox 360,,v1|256613816991|0,Disney Infinity STAR WARS STARTER PACK 3.0 Edition~XBOX 360~NEW in Box,Brand New,Video Games; Video Games & Consoles,139973; 1249,jmc_1977,Xbox 360,Disney Infinity,Region Free; United States,,,,,Probable Match,Probable Match,,,bundled content difference,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,6d18faf0-c181-49aa-bf01-7f85cb4c229e,aa687076-0ab0-4f60-bbba-2a6295b4890e,9edcc118-f033-4dcd-a027-f0b99d801d76
566,7e4df6ab-a11e-4b16-9f6c-148fb91b58cc,2026-07-16T19:39:09.630517+00:00,wrong_edition_version,,B00AXI9WFS,DISNEY INFINITY Starter Pack Xbox 360,,v1|117103787833|0,Xbox 360 Disney Infinity Star Wars Starter Pack 3.0 Edition New ,Brand New,Video Games; Video Games & Consoles,139973; 1249,juliereding7273,Xbox 360,Disney Infinity,,,,,,Probable Match,Probable Match,,,bundled content difference,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,79bbb002-5cf2-4888-9588-d0ef2a6ca3d7,727e6112-981a-4761-8970-6ad5c369390d,7324f850-a121-48c3-83af-71618842cb54
567,67322336-8f13-45c0-b864-364178370b77,2026-07-16T19:39:09.268658+00:00,wrong_edition_version,,B00AXI9WFS,DISNEY INFINITY Starter Pack Xbox 360,,v1|357616979858|0,XBOX 360 Disney Infinity Star Wars Starter Pack 3.0 Edition Never Opened box,Brand New,Video Games; Video Games & Consoles,139973; 1249,good_guys_collectibles,Xbox 360,Disney Infinity,NTSC-U/C (US/Canada),,,Manual Included,2015,Probable Match,Probable Match,,,bundled content difference,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,32449320-f042-46c6-bdf3-42ae966ffe58,3b9df952-06d1-4969-81a3-ca64d213b59a,0534206d-63b2-42f1-a6ff-d1796303b05f
568,7190409d-4e8f-431f-8114-fc449eef56c3,2026-07-16T19:39:08.949188+00:00,wrong_edition_version,,B00AXI9WFS,DISNEY INFINITY Starter Pack Xbox 360,,v1|388761773628|0,XBOX 360 Disney Infinity Star Wars Starter Pack 3.0 Edition Never Opened box,Brand New,Video Games; Video Games & Consoles,139973; 1249,darlingassoc,Xbox 360,Disney Infinity,NTSC-U/C (US/Canada),,,Manual Included,2015,Probable Match,Probable Match,,,bundled content difference,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,45f8cc43-7d44-4698-b793-9fcc3bc3d2d7,b916cfb9-2222-4ee7-bc48-a54dbb0fd804,aa5fa820-e151-43f9-8297-24347e4c563c
569,cb19c6cf-3944-4c80-9e9f-17d3c58ab39b,2026-07-16T19:39:08.598254+00:00,wrong_edition_version,,B00AXI9WFS,DISNEY INFINITY Starter Pack Xbox 360,,v1|404530076276|0,XBOX 360 Disney Infinity Star Wars Starter Pack 3.0 Edition Never Opened box,Brand New,Video Games; Video Games & Consoles,139973; 1249,wood2550,Xbox 360,Disney Infinity,NTSC-U/C (US/Canada),,,Manual Included,2015,Probable Match,Probable Match,,,bundled content difference,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,a312a520-7998-4c5a-97f7-9f4e03ca36b0,0a56b195-a4d5-4cad-83a3-9eab60de6bb9,e80ba1a8-6d16-4568-9c49-6ad9fa0b162b
570,65d5a592-ee91-4652-9fa3-95d82479a036,2026-07-16T19:39:08.267445+00:00,wrong_edition_version,,B00AXI9WFS,DISNEY INFINITY Starter Pack Xbox 360,,v1|134628086227|0,🔥Disney Infinity XBOX 360 Star Wars Starter Pack 3.0 New!,Brand New,Video Games; Video Games & Consoles,139973; 1249,jadur_6286,Xbox 360,Disney Infinity,,,,,,Probable Match,Probable Match,,,bundled content difference,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,b303d119-f2a0-43a6-8cc4-7ba5f776a0ff,3d91229c-110a-4fd7-bdd8-97845d7dc030,4771c733-aeeb-4edc-a085-00c6a59690d5
571,50b0bfbf-51c7-4102-9189-2e56a2f6cebb,2026-07-16T19:39:07.937417+00:00,wrong_edition_version,,B00AXI9WFS,DISNEY INFINITY Starter Pack Xbox 360,,v1|287405987117|0,XBOX 360 Disney Infinity Star Wars Starter Pack Video Game Ahsoka Skywalker New,Brand New,Video Games; Video Games & Consoles,139973; 1249,ryansmisfittoys,Xbox 360,Disney Infinity,United States,,,"Multiplayer, Online Playability, Manual Included",,Probable Match,Probable Match,,,bundled content difference,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,b7942f0b-42fb-4ec9-9811-1c8bbfd1e39a,a9b91b9f-de15-4c72-9e7a-de043d095dd0,a2cf6095-b356-40af-9e78-0f840d67949c
572,f5d071ab-13e4-4e91-a7d1-9034cd940f01,2026-07-16T19:39:07.480783+00:00,wrong_edition_version,,B00AXI9WFS,DISNEY INFINITY Starter Pack Xbox 360,,v1|145808119893|0,XBOX 360 Disney Infinity Star Wars Edition Starter Pack 3.0 Edition New/Sealed,Brand New,Video Games; Video Games & Consoles,139973; 1249,kl121323,Xbox 360,Disney Infinity,NTSC-U/C (US/Canada),,,Manual Included,2015,Probable Match,Probable Match,,,bundled content difference,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,97381621-f7fa-420a-ad71-fd658a374620,cdcd84f0-edea-4d74-8e90-4593802d3c04,53b3a70b-140a-471b-b1b7-b5ea9728db6c
573,58aafc64-71f8-4723-b75b-62b360e45116,2026-07-16T19:38:43.159919+00:00,missing_shrink_wrap,,B00AXI9WFS,DISNEY INFINITY Starter Pack Xbox 360,,v1|800334374971|0,XBOX 360 DISNEY INFINITY STARTER PACK 1.0 EDITION - NEW  - READ ,Brand New,Video Games; Video Games & Consoles,139973; 1249,atticwonders917,Xbox 360,Disney Infinity,NTSC-U/C (US/Canada); United States,,,"Complete Edition, Manual Included, Multiplayer, Online Playability",2013,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,image_or_operator_visual_review,23d2f074-8990-4d83-b277-c5f57c363fa9,580a272d-292f-4f91-b68b-bf0cbfd077eb,f7e3ed20-5791-4ab2-95f0-52aabe2567ef
574,5b02b0fc-6493-4506-bd72-df8066a65e34,2026-07-16T19:38:25.456844+00:00,wrong_edition_version,,B008E6ZXBI,Wipeout 3 - Nintendo 3DS,,v1|147084327368|0,WIPEOUT CREATE & CRASH NINTENDO 3DS BRAND NEW FACTORY SEALED FAST SHIPPING ,Brand New,Video Games; Video Games & Consoles,139973; 1249,roabondllc,3DS,Wipeout: Create & Crash,NTSC-U/C (US/Canada),,,,,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,c56d33d7-5d9c-4652-923f-944e12442f13,788a3bd9-328e-4fd3-afbd-e827f55e1158,db810b9b-77fe-44c4-995f-f4317f043b53
575,dc6239ac-3b6f-4488-8cda-c929a2505be9,2026-07-16T19:38:25.117291+00:00,wrong_edition_version,,B008E6ZXBI,Wipeout 3 - Nintendo 3DS,,v1|291555504885|0,Wipeout Create & Crash Nintendo 3DS Brand New Sealed Fast Shipping,Brand New,Video Games; Video Games & Consoles,139973; 1249,digitalvillellc,3DS,Wipeout: Create & Crash,NTSC-U/C (US/CA); United States,,,,,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,820ca3c6-d1f9-49bd-a23a-2e223881e403,5036dc5f-8f34-45ec-aae6-b63091b01f59,b5533ef3-b381-452a-bf71-93943f0b3f4c
576,09377ebc-6fd4-4c51-b1ee-acd72f4a7643,2026-07-16T19:38:24.698307+00:00,wrong_edition_version,,B008E6ZXBI,Wipeout 3 - Nintendo 3DS,,v1|286836676900|0,WIPEOUT CREATE & CRASH NINTENDO 3DS BRAND NEW FACTORY SEALED FAST SHIPPING ,Brand New,Video Games; Video Games & Consoles,139973; 1249,playraven,3DS,Wipeout: Create & Crash,NTSC-U/C (US/Canada),,,,,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,8c189a78-c9b2-45be-8807-bc491f5d21cb,081136a2-b45f-4239-9e7b-39944dea95ac,9bb27ffb-158a-4826-998c-48b45b637d1e
577,274ff456-57a0-4c19-b47d-515a727a0a9c,2026-07-16T19:38:24.313923+00:00,wrong_edition_version,,B008E6ZXBI,Wipeout 3 - Nintendo 3DS,,v1|317776863478|0,WIPEOUT CREATE & CRASH NINTENDO 3DS BRAND NEW SEALED ,Brand New,Video Games; Video Games & Consoles,139973; 1249,poxotonicphil,3DS,Wipeout: Create & Crash,NTSC-U/C (US/Canada),,,,,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,b60edff6-4c54-4fc9-8cd3-274351927f43,2b350d80-87de-44a6-8f0a-cc27e9f3a772,8f800695-bd40-47a4-838d-e20a8c19721d
578,48711abc-e987-4b96-b466-a3afaad04112,2026-07-16T19:38:23.907531+00:00,wrong_edition_version,,B008E6ZXBI,Wipeout 3 - Nintendo 3DS,,v1|304951266759|0,Wipeout: Create & Crash - Nintendo 3DS,Brand New,Video Games; Video Games & Consoles,139973; 1249,retrofighters,3DS,Wipeout: Create & Crash,,,,,,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,e7e1beea-facc-4788-94af-515c782f5d09,4203f976-457a-435b-8459-b525c44ec0df,98daccd7-d168-426a-87aa-fa5a96935e2a
579,d62e9b42-225b-416b-895c-b4db8047bbe1,2026-07-16T19:38:23.359236+00:00,wrong_edition_version,,B008E6ZXBI,Wipeout 3 - Nintendo 3DS,,v1|227129102664|0,WIPEOUT CREATE & CRASH NINTENDO 3DS BRAND NEW FACTORY SEALED FAST SHIPPING ,Brand New,Video Games & Consoles; Video Games,139973,pressplayforless,3DS,Wipeout: Create & Crash,NTSC-U/C (US/Canada),,,,,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,db2b9390-8f29-436f-a24c-1d8d74c697a2,6b4457d7-4a75-455f-af7b-fb73841a8702,b78f9fed-d1e6-4111-87bf-c4ccc6a92104
580,a600548b-b9b3-4f5d-b2ac-0e13ee38b0cc,2026-07-16T19:37:35.114042+00:00,packaging_damage,,B00CSLIYU2,Pac-Man and the Ghostly Adventures - Xbox 360,,v1|287404327864|0,Pac-Man and the Ghostly Adventures for Microsoft XBOX 360 New Factory Sealed,Brand New,Video Games & Consoles; Video Games,139973,206toys,Xbox 360,Pac-Man and the Ghostly Adventures,NTSC-U/C (US/Canada); United States,NTSC (N. America),,,,Probable Match,Probable Match,,,packaging_damage,evidence exists only in images,image_or_operator_visual_review,16030760-7e36-4888-b047-6a148297110d,6acef681-00b2-42ec-99e6-e1737c32141d,1dfbc4a6-59b9-43e6-9a32-2fc8c517d229
581,f4c1f717-0fce-471c-9f40-d770ac5d5fbb,2026-07-16T19:37:05.799101+00:00,missing_shrink_wrap,,B00CSLIYU2,Pac-Man and the Ghostly Adventures - Xbox 360,,v1|127275067410|0,"Pac-Man and the Ghostly Adventures (Microsoft Xbox 360, 2013)",Brand New,Video Games & Consoles; Video Games,139973,sungjinah,Xbox 360,Pac-Man and the Ghostly Adventures,NTSC-U/C (US/Canada); USA,,,Multiplayer,2013,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,image_or_operator_visual_review,919fd7a1-d10b-4883-9aff-a6d4ccd6efa4,a379af61-f65b-41b6-861d-c8c7e16afa33,2c679b96-ff10-4885-a540-beb94d85e8a4
582,ad81c134-daf0-4d26-b7e8-08d3748260a2,2026-07-16T03:26:12.301064+00:00,asin_blocked,,B07HCXXRLL,Sid Meier's Civilization VI (Nintendo Switch),,v1|117284370505|0,Sid Meier's Civilization VI Nintendo Switch NTSC-U/C E10+ 2018 Strategy,Brand New,Video Games; Video Games & Consoles,139973; 1249,diego4533,Switch,Sid Meier's Civilization VI,NTSC-U/C (US/Canada); United States,,,Multiplayer,2018,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,36635eea-7ec0-4800-9792-316e45ba2275,fd24d515-ee76-4086-8e91-7470c55cb4a2,b4c90fa0-c2d0-45f2-9389-e779008e8880
583,07dbbbd0-86da-4ed6-8084-7fe6b1312207,2026-07-16T03:26:11.828549+00:00,asin_blocked,,B07HCXXRLL,Sid Meier's Civilization VI (Nintendo Switch),,v1|336685435708|0,"Sid Meier's Civilization VI Nintendo Switch - BRAND NEW, NEVER OPENED",Brand New,Video Games; Video Games & Consoles,139973; 1249,keona.r_74,Switch,Sid Meier's Civilization VI,,,,Multiplayer,,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,877e43c6-3f69-4cac-b959-c649f6204348,a136f5ea-7b4c-4cb5-bac4-daf46db3fe86,f391f244-3947-4939-af1b-55876e42142b
584,f2a15119-422d-4b96-8927-1a31962115ad,2026-07-16T03:26:11.445778+00:00,asin_blocked,,B07HCXXRLL,Sid Meier's Civilization VI (Nintendo Switch),,v1|377149968759|0,Sid Meier's Civilization VI Nintendo Switch Strategy Game,Brand New,Video Games; Video Games & Consoles,139973; 1249,retro_nirvana,Switch,Sid Meier's Civilization VI,NTSC-U/C (US/Canada); US,,,,2018,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,dcf8b705-3b85-4ea7-afbc-e46a0c6d13a6,a6509062-40b6-41ef-b7c3-c368bab28831,951abeae-52b4-43d2-800b-cc780461187e
585,811fffbd-dced-486e-b5a3-f6c0e0b86cd1,2026-07-16T03:26:10.892356+00:00,asin_blocked,,B07HCXXRLL,Sid Meier's Civilization VI (Nintendo Switch),,v1|158036123183|0,Sid Meier's Civilization VI Nintendo Switch Strategy Game Cartridge,Brand New,Video Games; Video Games & Consoles,139973; 1249,clayab,Switch,Sid Meier's Civilization VI,NTSC-U/C (US/Canada),,,Manual Included,2018,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,34d5cf85-a01f-4260-82f2-2ac8c14d7f19,321ebc20-3113-4735-a1d5-eabfafda6455,ead7999a-4bd9-4642-b409-d736b992abdc
586,bb0fae0e-5301-4bda-a47a-e9f9a5440db2,2026-07-16T03:26:10.454847+00:00,asin_blocked,,B07HCXXRLL,Sid Meier's Civilization VI (Nintendo Switch),,v1|267726847650|0,Sid Meier's Civilization VI - Nintendo Switch,Brand New,Video Games; Video Games & Consoles,139973; 1249,scottyboy108,Switch,Sid Meier's Civilization VI,,,,,,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,f15a8eb7-02b8-4544-adb7-ca778fa13f56,91abbf8a-3511-4ca8-bb41-8c2e15f35015,3aaa7a9b-24f6-4f90-9405-77906ebd4c63
587,e268a906-e333-409b-bd29-f2ddf03af238,2026-07-16T03:26:10.006469+00:00,asin_blocked,,B07HCXXRLL,Sid Meier's Civilization VI (Nintendo Switch),,v1|377169986249|0,Sid Meier's Civilization VI - Nintendo Switch,Brand New,Video Games; Video Games & Consoles,139973; 1249,cowboy_82288,Switch,Sid Meier's Civilization VI,,,,,,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,3ba5a481-549f-427f-9628-92b31f9b000d,da461c17-79e3-43a2-9ca4-e00daa7766fd,1fc654d3-5b8f-4ef1-bf32-53a8430a9567
588,cb42673b-922c-4895-832d-26500ebe87c2,2026-07-16T03:26:09.398952+00:00,asin_blocked,,B07HCXXRLL,Sid Meier's Civilization VI (Nintendo Switch),,v1|178033192462|0,Sid Meier's Civilization VI - Nintendo Switch NEW SEALED,Brand New,Video Games; Video Games & Consoles,139973; 1249,dnq6k_35,Switch,Sid Meier's Civilization VI,,,,,,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,7ac8db2e-d88d-4c0f-86ec-9446dc72bc16,ccd26487-e006-4960-93ce-a052165b561d,15c3d6a2-1ad6-4f27-9921-424e65dbeb8a
589,831b40b5-decd-4923-86b4-8f6d99f437da,2026-07-16T03:26:08.917871+00:00,asin_blocked,,B07HCXXRLL,Sid Meier's Civilization VI (Nintendo Switch),,v1|277796083817|0,Sid Meier's Civilization VI - Nintendo Switch BRAND NEW FACTORY SEALED,Brand New,Video Games; Video Games & Consoles,139973; 1249,cardchasersanchez,Switch,Sid Meier's Civilization VI,NTSC-U/C (US/Canada); Japan,,,Multiplayer,2018,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,9c049b0b-295a-45b7-bedd-2ec2d0af0f3a,3e966862-837d-47b9-a801-687e020b4ae7,639d1fa6-3d2c-4171-ac35-e7c190793830
590,c21672e9-7ca6-4986-a14c-d9b82dd0161d,2026-07-16T03:26:08.330321+00:00,asin_blocked,,B07HCXXRLL,Sid Meier's Civilization VI (Nintendo Switch),,v1|137486287371|0,Sid Meier's Civilization VI - Nintendo Switch Brand New Sealed,Brand New,Video Games; Video Games & Consoles,139973; 1249,redwoodsmedia,Switch,Sid Meier's Civilization VI,NTSC-U/C (US/Canada); Japan,,,Multiplayer,2018,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,999128e6-a745-4578-865b-e3c971dc9872,78a15f91-6e03-49aa-85a6-f4187315c3af,0181adf4-7122-4db8-b04b-d301de9cc85e
591,04e51749-50d0-4841-aad7-66d8cb7fd2ec,2026-07-16T03:26:07.659422+00:00,asin_blocked,,B07HCXXRLL,Sid Meier's Civilization VI (Nintendo Switch),,v1|397967499034|0,Sid Meier's Civilization VI - Nintendo Switch - New Sealed,Brand New,Video Games; Video Games & Consoles,139973; 1249,thedistortionzone,Switch,Sid Meier's Civilization VI,,,,,,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,85070dd0-af50-4a97-b9fb-46d7e710f562,f213bca2-1a2f-4554-9461-0fad2f0ac885,948e2f7e-3a45-49fc-81b2-6aeabcf77b57
592,0b185021-f4de-4823-9774-f08e50cdd195,2026-07-15T15:55:04.262293+00:00,wrong_product,,B07DPZ1WQ9,Super Mario Party - [Nintendo Switch] [video game],,v1|176525162461|0,Mario Party Superstars - Preorder Post Cards Bonus,Brand New,Video Games; Video Games & Consoles,139973; 1249,optimusbondgames,Switch,Mario Party,,,,,,Probable Match,Blocked,non-US item location,,unclear/insufficient evidence,current rule should already block,title_plus_item_specifics_or_category,6b859241-11ce-401b-b29c-7bcd10bd1e61,13de3644-3c60-40f3-bb02-3d9c26346f6f,8e08d04d-2b8d-4e57-a4b9-a37e80a0540d
593,669c4df8-4078-486f-ab72-6184848f70ba,2026-07-15T15:54:18.089862+00:00,non_north_american_version,,B0C1TMGJ19,Crash Team Rumble Deluxe - PlayStation 5 [video game],,v1|366540652641|0,"Crash Team Rumble Deluxe Edition (Sony PlayStation 5, 2023)  New Sealed !!!",Brand New,Video Games; Video Games & Consoles,139973; 1249,watsells,PS 5,Crash Team Rumble,,,,,2023,Probable Match,Probable Match,,,non_north_american_version,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,f2bbb015-02a5-4c89-af2d-3f2476e45da8,1099eba5-b90a-4d09-9a88-66c95f4236db,73cd36fc-dc07-45d6-b884-0820cdbf6c6f
594,9d493d85-1bf0-4237-a852-cef09a245180,2026-07-15T15:51:50.356145+00:00,sales_velocity_too_low,,B09GTQ8J7F,The Smurfs: Mission Vileaf (PS5) - PlayStation 5 [video game],,v1|117217187848|0,The Smurfs Mission Vileaf PlayStation 5 PS5 New - SEALED *Loose Disc*,Brand New,Video Games; Video Games & Consoles,139973; 1249,505dillon,PS 5,The Smurfs Mission Vileaf,NTSC-U/C (US/Canada); United States,,,,,Probable Match,Probable Match,,,sales_velocity_too_low,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,31ba00af-c88b-40a2-adef-c21221f9495c,d91b7ae9-58f0-4f8a-ae78-39ab2be8359b,37874093-a442-49b4-a805-943d181fcbc3
595,d8fc269a-dbad-432a-b6f2-047a2a68de8c,2026-07-15T15:49:35.261654+00:00,missing_shrink_wrap,,B07SJHN2LF,FIFA 20 Champions Edition - PlayStation 4,,v1|404432692131|0,FIFA 20 Champions Edition - Sony PlayStation 4,Brand New,Video Games & Consoles; Video Games,139973,stebathory0,PS 4,Fifa 20 Champions Edition,,,,,,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,image_or_operator_visual_review,80de521b-05e5-4b62-ae34-b7b7ad476540,4824a6dc-4285-481a-b6a0-38b1e815c791,0eae9db6-d1ef-40bb-8b3c-cd91fdf1a53d
596,a7b0d05d-66c2-43a2-b57f-a55fe0f932ce,2026-07-15T15:47:58.150432+00:00,wrong_product,,B07PR1QVMR,Umihara Kawase Fresh! - Nintendo Switch,,v1|394970734574|0,UMIHARA KAWASE BAZOOKA  - Nintendo Switch Game Factory Sealed FAST SHIPPING,Brand New,Video Games & Consoles; Video Games,139973,slctreasures,Switch,Umihara Kawase Bazooka!,Region Free for use WorldWide,,,,,Probable Match,Probable Match,,,eBay item-specific Game Name conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,b76b81b5-ae9f-4992-86a8-a6e9d77c4972,bdbbb2cc-3aac-4c11-865a-bf66f766e650,bb213c8a-bc9e-4cda-9f37-c09407f3fa91
597,e38f4cc8-e5c4-4c92-87e4-4d86925e5a21,2026-07-15T15:47:46.64703+00:00,roi_too_low,,B07DPKY4XP,Overcooked! 2 - PlayStation 4,,v1|336501501527|0,Overcooked! 2 - Sony PlayStation 4,Brand New,Video Games; Video Games & Consoles,139973; 1249,autumnblizzard,PS 4,Overcooked! 2,,,,,,Probable Match,Probable Match,,,roi_too_low,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,9b63d345-b2e4-4aa2-8449-0be9993d1025,283c5c97-2c88-48d2-ae13-0e6fae741a81,c55eb5a0-fb71-4de0-b3f3-c0b939c0b733
